booking_id,customer_id,returning_customer,customer_age,tour_id,departure_id,tour_name,location,region,tour_type,customer_origin,booking_segment,booking_channel,booking_stage,unit_price_vnd,adults,children,infants,participants,booking_date,travel_start,travel_end,season,weather_condition,status,post_tour_rating,revenue_vnd,total_cost_vnd,profit_vnd
B000011,CUST00010,False,58,T235,T235_SH_Fo_241124_0205,Tour Huế 2N1Đ - Cultural,Huế,Bắc Trung Bộ,Cultural,Foreign,Foreign,Website,Normal,1030000,3,0,0,3,2024-11-10,2024-11-24,2024-11-25,Winter,Sunny,Completed,4.6,3090000,2370000,720000
B000012,CUST00011,False,30,T034,T034_SH_So_230928_0029,Tour Sa Pa 3N2Đ - Mountain,Sa Pa,Bắc Bộ,Mountain,Domestic,Solo,OTA,Late,1380000,1,0,0,1,2023-09-19,2023-09-28,2023-09-30,Autumn,Rainy,Completed,3.0,1380000,1040000,340000
B000013,CUST00012,False,44,T170,T170_PV_Co_241027_000012,Tour Đà Lạt 3N2Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Corporate,Agent,Normal,1470000,19,0,0,19,2024-10-02,2024-10-27,2024-10-29,Autumn,Sunny,Completed,4.4,27930000,20050000,7880000
B000014,CUST00013,False,45,T032,T032_SH_Fa_230909_0100,Tour Nha Trang 3N2Đ - Cultural,Nha Trang,Nam Trung Bộ,Cultural,Domestic,Family,Agent,Normal,1280000,3,2,0,5,2023-08-11,2023-09-09,2023-09-11,Autumn,Rainy,Completed,3.7,5380000,3690000,1690000
B000015,CUST00014,False,23,T088,T088_SH_Gr_240317_0469,Tour Bến Tre 2N1Đ - River,Bến Tre,Nam Bộ,River,Domestic,Group,Social,Normal,740000,8,0,0,8,2024-02-19,2024-03-17,2024-03-18,Spring,Sunny,Cancelled,,0,0,0
B000016,CUST00015,False,33,T125,T125_SH_Co_230527_0442,Tour Sa Pa 3N2Đ - Mountain,Sa Pa,Bắc Bộ,Mountain,Domestic,Couple,Website,Normal,1370000,2,0,0,2,2023-05-11,2023-05-27,2023-05-29,Summer,Sunny,Completed,3.4,2740000,2120000,620000
B000017,CUST00016,False,49,T071,T071_SH_Fo_230716_0151,Tour Đà Lạt 3N2Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Foreign,Foreign,Website,Normal,1590000,4,0,0,4,2023-06-29,2023-07-16,2023-07-18,Summer,Sunny,Completed,4.6,6360000,4590000,1770000
B000018,CUST00009,True,33,T133,T133_SH_So_221011_0050,Tour Sa Pa 4N3Đ - Adventure,Sa Pa,Bắc Bộ,Adventure,Domestic,Solo,OTA,Normal,1240000,1,0,0,1,2022-10-03,2022-10-11,2022-10-14,Autumn,Sunny,Completed,3.9,1240000,910000,330000
B000019,CUST00011,True,32,T112,T112_PV_Co_240822_000018,Tour Đà Lạt 5N4Đ - Adventure,Đà Lạt,Tây Nguyên,Adventure,Domestic,Corporate,Agent,Early,2380000,15,0,0,15,2024-07-22,2024-08-22,2024-08-26,Summer,Sunny,Completed,4.4,35700000,25650000,10050000
B000020,CUST00017,False,33,T341,T341_SH_Fa_220527_0062,Tour Hội An 3N2Đ - City,Hội An,Bắc Trung Bộ,City,Domestic,Family,OTA,Early,1160000,4,2,0,6,2022-04-21,2022-05-27,2022-05-29,Summer,Sunny,Completed,4.4,6030000,4330000,1700000
B000021,CUST00018,False,26,T011,T011_SH_Gr_230807_0411,Tour Phú Quốc 4N3Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Group,OTA,Normal,2250000,5,0,0,5,2023-07-08,2023-08-07,2023-08-10,Summer,Sunny,Completed,4.6,11250000,8130000,3120000
B000022,CUST00019,False,35,T148,T148_SH_Co_240123_0042,Tour Hà Nội 2N1Đ - City,Hà Nội,Bắc Bộ,City,Domestic,Couple,Website,Normal,880000,2,0,0,2,2024-01-01,2024-01-23,2024-01-24,Winter,Sunny,Completed,4.6,1760000,1280000,480000
B000023,CUST00020,False,46,T013,T013_SH_Fo_231027_0059,Tour Hạ Long 2N1Đ - Cruise,Hạ Long,Bắc Bộ,Cruise,Foreign,Foreign,Website,Late,1180000,4,0,0,4,2023-10-18,2023-10-27,2023-10-28,Autumn,Sunny,Completed,3.9,4720000,3110000,1610000
B000024,CUST00017,True,22,T349,T349_SH_So_240905_0208,Tour Cần Thơ 3N2Đ - River,Cần Thơ,Nam Bộ,River,Domestic,Solo,OTA,Normal,1450000,1,0,0,1,2024-08-20,2024-09-05,2024-09-07,Autumn,Rainy,Completed,3.6,1450000,1140000,310000
B000025,CUST00021,False,30,T160,T160_PV_Co_220326_000024,Tour Hội An 2N1Đ - City,Hội An,Bắc Trung Bộ,City,Domestic,Corporate,OTA,Early,880000,26,0,0,26,2022-02-17,2022-03-26,2022-03-27,Spring,Cloudy,Completed,3.5,22880000,15860000,7020000
B000026,CUST00014,True,37,T206,T206_SH_Fa_240327_0139,Tour Hà Giang 4N3Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Family,Website,Normal,1230000,4,3,0,7,2024-03-11,2024-03-27,2024-03-30,Spring,Sunny,Completed,3.7,7130000,5630000,1500000
B000027,CUST00015,True,30,T224,T224_SH_Gr_241222_0172,Tour Mũi Né 8N7Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Domestic,Group,Agent,Normal,4610000,8,0,0,8,2024-12-04,2024-12-22,2024-12-29,Winter,Sunny,Completed,4.4,36880000,27780000,9100000
B000028,CUST00022,False,40,T253,T253_SH_Co_240718_0157,Tour Sa Pa 3N2Đ - Mountain,Sa Pa,Bắc Bộ,Mountain,Domestic,Couple,Social,Normal,1430000,2,0,0,2,2024-07-05,2024-07-18,2024-07-20,Summer,Rainy,Completed,2.9,2860000,2050000,810000
B000029,CUST00014,True,40,T057,T057_SH_Fo_240920_0168,Tour Nha Trang 3N2Đ - Beach,Nha Trang,Nam Trung Bộ,Beach,Foreign,Foreign,Agent,Normal,1260000,4,0,0,4,2024-09-08,2024-09-20,2024-09-22,Autumn,Cloudy,Completed,4.5,5040000,3520000,1520000
B000030,CUST00023,False,23,T331,T331_SH_So_240501_0195,Tour Cần Thơ 3N2Đ - City,Cần Thơ,Nam Bộ,City,Domestic,Solo,OTA,Late,1620000,1,0,0,1,2024-04-24,2024-05-01,2024-05-03,Summer,Sunny,Completed,5.0,1620000,1140000,480000
B000031,CUST00024,False,45,T050,T050_PV_Co_230922_000030,Tour Đà Nẵng 3N2Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Corporate,Website,Early,1740000,12,0,0,12,2023-08-15,2023-09-22,2023-09-24,Autumn,Rainy,Completed,3.2,20880000,16630000,4250000
B000032,CUST00025,False,33,T110,T110_PV_Fa_240927_000031,Tour Vũng Tàu 2N1Đ - Beach,Vũng Tàu,Nam Bộ,Beach,Domestic,Family,Website,Normal,1390000,8,7,0,15,2024-09-05,2024-09-27,2024-09-28,Autumn,Sunny,Completed,4.8,16960000,11970000,4990000
B000033,CUST00026,False,22,T143,T143_SH_Gr_240119_0042,Tour Đà Nẵng 7N6Đ - City,Đà Nẵng,Nam Trung Bộ,City,Domestic,Group,Agent,Normal,2770000,6,0,0,6,2023-12-29,2024-01-19,2024-01-25,Winter,Sunny,Completed,4.0,16620000,12700000,3920000
B000034,CUST00027,False,37,T061,T061_SH_Co_230207_0384,Tour Ninh Bình 4N3Đ - Cultural,Ninh Bình,Bắc Bộ,Cultural,Domestic,Couple,Hotline,Normal,2010000,2,0,0,2,2023-01-21,2023-02-07,2023-02-10,Spring,Sunny,Completed,4.4,4020000,2870000,1150000
B000035,CUST00028,False,57,T251,T251_SH_Fo_240523_0122,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Foreign,Foreign,Website,Normal,1270000,3,0,0,3,2024-05-16,2024-05-23,2024-05-25,Summer,Cloudy,Completed,3.6,3810000,2760000,1050000
B000036,CUST00029,False,32,T229,T229_SH_So_230403_0063,Tour Đà Nẵng 3N2Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Solo,OTA,Normal,1750000,1,0,0,1,2023-03-22,2023-04-03,2023-04-05,Spring,Sunny,Completed,4.1,1750000,1400000,350000
B000037,CUST00030,False,27,T134,T134_PV_Co_240917_000036,Tour Bến Tre 3N2Đ - River,Bến Tre,Nam Bộ,River,Domestic,Corporate,OTA,Early,1290000,24,0,0,24,2024-08-12,2024-09-17,2024-09-19,Autumn,Rainy,Completed,3.8,30960000,23210000,7750000
B000038,CUST00031,False,38,T230,T230_SH_Fa_240501_0259,Tour Đà Nẵng 3N2Đ - City,Đà Nẵng,Nam Trung Bộ,City,Domestic,Family,Website,Normal,1680000,2,1,0,3,2024-04-06,2024-05-01,2024-05-03,Summer,Sunny,Completed,4.1,4370000,3250000,1120000
B000039,CUST00032,False,21,T119,T119_SH_Gr_240208_0415,Tour Cần Thơ 3N2Đ - City,Cần Thơ,Nam Bộ,City,Domestic,Group,Website,Normal,1690000,5,0,0,5,2024-01-20,2024-02-08,2024-02-10,Spring,Rainy,Completed,3.4,8450000,6610000,1840000
B000040,CUST00021,True,28,T296,T296_SH_Co_240830_0006,Tour Mũi Né 2N1Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Domestic,Couple,Hotline,Normal,1260000,2,0,0,2,2024-08-18,2024-08-30,2024-08-31,Summer,Cloudy,Completed,3.9,2520000,1680000,840000
B000041,CUST00033,False,34,T167,T167_SH_Fo_221105_0061,Tour Đà Lạt 2N1Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Foreign,Foreign,Website,Normal,680000,2,0,0,2,2022-10-23,2022-11-05,2022-11-06,Winter,Cloudy,Completed,4.4,1360000,890000,470000
B000042,CUST00034,False,30,T024,T024_SH_So_231115_0103,Tour Hà Nội 3N2Đ - City,Hà Nội,Bắc Bộ,City,Domestic,Solo,Website,Late,1180000,1,0,0,1,2023-11-06,2023-11-15,2023-11-17,Winter,Sunny,Completed,3.9,1180000,850000,330000
B000043,CUST00035,False,37,T072,T072_PV_Co_240330_000042,Tour Đà Lạt 4N3Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Corporate,Website,Normal,1340000,26,0,0,26,2024-03-11,2024-03-30,2024-04-02,Spring,Sunny,Completed,3.9,34840000,25970000,8870000
B000044,CUST00036,False,42,T015,T015_SH_Fa_241021_0054,Tour TP.HCM 6N5Đ - City,TP.HCM,Nam Bộ,City,Domestic,Family,Website,Early,2490000,3,2,0,5,2024-09-14,2024-10-21,2024-10-26,Autumn,Rainy,Cancelled,,0,0,0
B000045,CUST00012,True,26,T344,T344_SH_Gr_230219_0300,Tour Cần Thơ 2N1Đ - River,Cần Thơ,Nam Bộ,River,Domestic,Group,OTA,Early,760000,11,0,0,11,2023-01-18,2023-02-19,2023-02-20,Spring,Sunny,Completed,4.6,8360000,6230000,2130000
B000046,CUST00037,False,26,T325,T325_SH_Co_240131_0215,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Domestic,Couple,OTA,Normal,1470000,2,0,0,2,2024-01-12,2024-01-31,2024-02-02,Winter,Sunny,Completed,4.0,2940000,2180000,760000
B000047,CUST00038,False,34,T166,T166_SH_Fo_231125_0094,Tour Đà Lạt 1N1Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Foreign,Foreign,OTA,Normal,500000,3,0,0,3,2023-11-16,2023-11-25,2023-11-25,Winter,Cloudy,Completed,3.5,1500000,1090000,410000
B000048,CUST00032,True,23,T344,T344_SH_So_241214_0158,Tour Cần Thơ 2N1Đ - River,Cần Thơ,Nam Bộ,River,Domestic,Solo,Hotline,Normal,800000,1,0,0,1,2024-12-01,2024-12-14,2024-12-15,Winter,Sunny,Completed,4.0,800000,570000,230000
B000049,CUST00039,False,26,T259,T259_PV_Co_240312_000048,Tour Huế 2N1Đ - Cultural,Huế,Bắc Trung Bộ,Cultural,Domestic,Corporate,Agent,Normal,750000,17,0,0,17,2024-02-10,2024-03-12,2024-03-13,Spring,Sunny,Cancelled,,0,0,0
B000050,CUST00040,False,48,T004,T004_SH_Fa_230527_0141,Tour Sa Pa 2N1Đ - Mountain,Sa Pa,Bắc Bộ,Mountain,Domestic,Family,OTA,Early,1060000,3,1,0,4,2023-04-26,2023-05-27,2023-05-28,Summer,Cloudy,Completed,4.4,3820000,2550000,1270000
B000051,CUST00041,False,24,T268,T268_SH_Gr_240223_0205,Tour Đà Lạt 4N3Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Group,Hotline,Normal,1440000,8,0,0,8,2024-01-24,2024-02-23,2024-02-26,Spring,Cloudy,Completed,4.7,11520000,7800000,3720000
B000052,CUST00042,False,27,T350,T350_SH_Co_221222_0075,Tour Đà Lạt 4N3Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Couple,Social,Normal,1980000,2,0,0,2,2022-12-01,2022-12-22,2022-12-25,Winter,Sunny,Completed,4.0,3960000,2710000,1250000
B000053,CUST00043,False,30,T190,T190_SH_Fo_240901_0182,Tour Nha Trang 3N2Đ - City,Nha Trang,Nam Trung Bộ,City,Foreign,Foreign,Website,Normal,1410000,3,0,0,3,2024-08-16,2024-09-01,2024-09-03,Autumn,Sunny,Completed,4.8,4230000,2750000,1480000
B000054,CUST00044,False,24,T014,T014_SH_So_221210_0167,Tour Nha Trang 4N3Đ - City,Nha Trang,Nam Trung Bộ,City,Domestic,Solo,Website,Normal,2210000,1,0,0,1,2022-12-01,2022-12-10,2022-12-13,Winter,Sunny,Completed,4.7,2210000,1530000,680000
B000055,CUST00045,False,36,T186,T186_PV_Co_230928_000054,Tour Nha Trang 2N1Đ - Beach,Nha Trang,Nam Trung Bộ,Beach,Domestic,Corporate,Social,Early,1090000,12,0,0,12,2023-08-29,2023-09-28,2023-09-29,Autumn,Cloudy,Completed,4.5,13080000,9330000,3750000
B000056,CUST00046,False,46,T016,T016_SH_Fa_240222_0028,Tour Cần Thơ 6N5Đ - City,Cần Thơ,Nam Bộ,City,Domestic,Family,OTA,Early,3190000,5,3,0,8,2024-01-24,2024-02-22,2024-02-27,Spring,Cloudy,Cancelled,,0,0,0
B000057,CUST00047,False,30,T005,T005_SH_Gr_230507_0366,Tour Hội An 4N3Đ - Cultural,Hội An,Bắc Trung Bộ,Cultural,Domestic,Group,Agent,Normal,1780000,7,0,0,7,2023-04-22,2023-05-07,2023-05-10,Summer,Cloudy,Completed,4.6,12460000,8380000,4080000
B000058,CUST00048,False,30,T126,T126_SH_Co_230625_0084,Tour Hạ Long 3N2Đ - Cruise,Hạ Long,Bắc Bộ,Cruise,Domestic,Couple,Website,Normal,2020000,2,0,0,2,2023-06-01,2023-06-25,2023-06-27,Summer,Sunny,Completed,4.0,4040000,2840000,1200000
B000059,CUST00049,False,59,T224,T224_SH_Fo_230217_0202,Tour Mũi Né 8N7Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Foreign,Foreign,OTA,Normal,4260000,4,0,0,4,2023-02-01,2023-02-17,2023-02-24,Spring,Cloudy,Completed,4.1,17040000,11690000,5350000
B000060,CUST00036,True,34,T075,T075_SH_So_240124_0135,Tour Cần Thơ 2N1Đ - River,Cần Thơ,Nam Bộ,River,Domestic,Solo,OTA,Normal,940000,1,0,0,1,2024-01-14,2024-01-24,2024-01-25,Winter,Sunny,Completed,3.8,940000,750000,190000
B000061,CUST00030,True,40,T045,T045_PV_Co_241130_000060,Tour Quảng Bình 2N1Đ - Cultural,Quảng Bình,Bắc Trung Bộ,Cultural,Domestic,Corporate,OTA,Early,800000,14,0,0,14,2024-10-22,2024-11-30,2024-12-01,Winter,Storm,Completed,4.2,11200000,8150000,3050000
B000062,CUST00050,False,48,T212,T212_SH_Fa_241202_0232,Tour Ninh Bình 2N1Đ - Cultural,Ninh Bình,Bắc Bộ,Cultural,Domestic,Family,Website,Early,1110000,4,2,0,6,2024-10-25,2024-12-02,2024-12-03,Winter,Sunny,Completed,4.0,5770000,4100000,1670000
B000063,CUST00051,False,27,T330,T330_SH_Gr_230707_0093,Tour Nha Trang 3N2Đ - Beach,Nha Trang,Nam Trung Bộ,Beach,Domestic,Group,Agent,Normal,1760000,5,0,0,5,2023-06-22,2023-07-07,2023-07-09,Summer,Cloudy,Completed,3.8,8800000,5890000,2910000
B000064,CUST00052,False,29,T325,T325_SH_Co_230415_0241,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Domestic,Couple,Agent,Early,1150000,2,0,0,2,2023-03-15,2023-04-15,2023-04-17,Spring,Cloudy,Completed,4.6,2300000,1610000,690000
B000065,CUST00053,False,48,T037,T037_SH_Fo_231226_0105,Tour Hà Giang 6N5Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Foreign,Foreign,OTA,Normal,3030000,4,0,0,4,2023-12-16,2023-12-26,2023-12-31,Winter,Cloudy,Completed,4.3,12120000,9160000,2960000
B000066,CUST00054,False,35,T206,T206_SH_So_220122_0199,Tour Hà Giang 4N3Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Solo,OTA,Normal,1510000,1,0,0,1,2022-01-07,2022-01-22,2022-01-25,Winter,Cloudy,Completed,4.6,1510000,1180000,330000
B000067,CUST00055,False,40,T044,T044_PV_Co_230921_000066,Tour Hội An 4N3Đ - City,Hội An,Bắc Trung Bộ,City,Domestic,Corporate,Agent,Early,1630000,21,0,0,21,2023-08-21,2023-09-21,2023-09-24,Autumn,Cloudy,Completed,4.4,34230000,22790000,11440000
B000068,CUST00056,False,43,T067,T067_SH_Fa_231007_0071,Tour TP.HCM 4N3Đ - City,TP.HCM,Nam Bộ,City,Domestic,Family,Agent,Early,1910000,5,3,0,8,2023-09-06,2023-10-07,2023-10-10,Autumn,Sunny,Completed,4.2,12990000,9570000,3420000
B000069,CUST00057,False,29,T042,T042_SH_Gr_230524_0365,Tour Hạ Long 2N1Đ - Cruise,Hạ Long,Bắc Bộ,Cruise,Domestic,Group,Website,Early,1110000,9,0,0,9,2023-04-25,2023-05-24,2023-05-25,Summer,Sunny,Completed,5.0,9990000,6940000,3050000
B000070,CUST00008,True,40,T275,T275_SH_Co_231226_0029,Tour Cần Thơ 4N3Đ - City,Cần Thơ,Nam Bộ,City,Domestic,Couple,Website,Normal,1850000,2,0,0,2,2023-12-05,2023-12-26,2023-12-29,Winter,Cloudy,Completed,4.2,3700000,2630000,1070000
B000071,CUST00043,True,53,T108,T108_SH_Fo_240721_0007,Tour Mũi Né 3N2Đ - Cultural,Mũi Né,Nam Trung Bộ,Cultural,Foreign,Foreign,Hotline,Late,1900000,4,0,0,4,2024-07-12,2024-07-21,2024-07-23,Summer,Sunny,Completed,5.0,7600000,5390000,2210000
B000072,CUST00014,True,28,T244,T244_SH_So_240904_0071,Tour Vũng Tàu 4N3Đ - Beach,Vũng Tàu,Nam Bộ,Beach,Domestic,Solo,Website,Normal,2490000,1,0,0,1,2024-08-22,2024-09-04,2024-09-07,Autumn,Sunny,Completed,5.0,2490000,1800000,690000
B000073,CUST00058,False,40,T239,T239_PV_Co_231226_000072,Tour Phú Quốc 4N3Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Corporate,Website,Normal,1880000,27,0,0,27,2023-12-06,2023-12-26,2023-12-29,Winter,Sunny,Completed,3.7,50760000,40820000,9940000
B000074,CUST00059,False,55,T297,T297_SH_Fa_230530_0231,Tour Đà Nẵng 3N2Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Family,Agent,Early,1830000,5,3,0,8,2023-04-23,2023-05-30,2023-06-01,Summer,Cloudy,Completed,4.2,12440000,8860000,3580000
B000075,CUST00060,False,31,T099,T099_SH_Gr_241202_0061,Tour Mũi Né 2N1Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Domestic,Group,OTA,Normal,1290000,7,0,0,7,2024-11-10,2024-12-02,2024-12-03,Winter,Sunny,Completed,4.6,9030000,6420000,2610000
B000076,CUST00061,False,37,T196,T196_SH_Co_240501_0216,Tour Bến Tre 3N2Đ - River,Bến Tre,Nam Bộ,River,Domestic,Couple,OTA,Early,1740000,2,0,0,2,2024-03-27,2024-05-01,2024-05-03,Summer,Sunny,Completed,4.2,3480000,2430000,1050000
B000077,CUST00062,False,54,T160,T160_SH_Fo_220716_0218,Tour Hội An 2N1Đ - City,Hội An,Bắc Trung Bộ,City,Foreign,Foreign,Social,Normal,840000,3,0,0,3,2022-07-05,2022-07-16,2022-07-17,Summer,Rainy,Completed,3.6,2520000,1860000,660000
B000078,CUST00042,True,35,T169,T169_SH_So_240609_0051,Tour Mũi Né 3N2Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Domestic,Solo,OTA,Normal,1540000,1,0,0,1,2024-05-23,2024-06-09,2024-06-11,Summer,Sunny,Cancelled,,0,0,0
B000079,CUST00063,False,35,T326,T326_PV_Co_230615_000078,Tour Sa Pa 2N1Đ - Mountain,Sa Pa,Bắc Bộ,Mountain,Domestic,Corporate,Agent,Early,1110000,25,0,0,25,2023-05-14,2023-06-15,2023-06-16,Summer,Cloudy,Completed,4.3,27750000,19510000,8240000
B000080,CUST00043,True,45,T123,T123_SH_Fa_240218_0239,Tour Bến Tre 4N3Đ - Cultural,Bến Tre,Nam Bộ,Cultural,Domestic,Family,Website,Normal,1850000,4,3,0,7,2024-02-02,2024-02-18,2024-02-21,Spring,Sunny,Completed,4.0,10730000,7370000,3360000
B000081,CUST00057,True,24,T208,T208_SH_Gr_221026_0472,Tour Đà Nẵng 4N3Đ - Cultural,Đà Nẵng,Nam Trung Bộ,Cultural,Domestic,Group,Website,Normal,1590000,7,0,0,7,2022-10-01,2022-10-26,2022-10-29,Autumn,Cloudy,Completed,4.4,11130000,8220000,2910000
B000082,CUST00064,False,33,T347,T347_SH_Co_220917_0108,Tour Hà Giang 3N2Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Couple,Social,Normal,1100000,2,0,0,2,2022-08-31,2022-09-17,2022-09-19,Autumn,Rainy,Completed,3.4,2200000,1750000,450000
B000083,CUST00065,False,35,T357,T357_SH_Fo_240921_0147,Tour Nha Trang 2N1Đ - Beach,Nha Trang,Nam Trung Bộ,Beach,Foreign,Foreign,Website,Normal,1230000,2,0,0,2,2024-09-02,2024-09-21,2024-09-22,Autumn,Cloudy,Completed,4.4,2460000,1870000,590000
B000084,CUST00066,False,29,T314,T314_SH_So_240912_0081,Tour Hà Giang 2N1Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Solo,Hotline,Late,820000,1,0,0,1,2024-09-08,2024-09-12,2024-09-13,Autumn,Rainy,Completed,3.7,820000,620000,200000
B000085,CUST00044,True,30,T354,T354_PV_Co_240502_000084,Tour Đà Nẵng 3N2Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Corporate,Agent,Early,1710000,21,0,0,21,2024-03-19,2024-05-02,2024-05-04,Summer,Sunny,Completed,4.4,35910000,24970000,10940000
B000086,CUST00067,False,30,T200,T200_SH_Fa_240227_0121,Tour Bến Tre 1N1Đ - River,Bến Tre,Nam Bộ,River,Domestic,Family,Website,Early,500000,2,2,0,4,2024-01-19,2024-02-27,2024-02-27,Spring,Sunny,Completed,4.7,1600000,1120000,480000
B000087,CUST00068,False,24,T007,T007_SH_Gr_230810_0468,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Domestic,Group,Website,Normal,960000,12,0,0,12,2023-07-29,2023-08-10,2023-08-12,Summer,Sunny,Completed,4.6,11520000,8480000,3040000
B000088,CUST00042,True,29,T259,T259_SH_Co_241130_0076,Tour Huế 2N1Đ - Cultural,Huế,Bắc Trung Bộ,Cultural,Domestic,Couple,Social,Normal,1050000,2,0,0,2,2024-11-09,2024-11-30,2024-12-01,Winter,Rainy,Completed,3.9,2100000,1400000,700000
B000089,CUST00019,True,32,T076,T076_SH_Fo_240130_0164,Tour Cần Thơ 3N2Đ - River,Cần Thơ,Nam Bộ,River,Foreign,Foreign,OTA,Late,1120000,3,0,0,3,2024-01-27,2024-01-30,2024-02-01,Winter,Rainy,Completed,3.5,3360000,2530000,830000
B000090,CUST00069,False,35,T188,T188_SH_So_221231_0111,Tour Hạ Long 1N1Đ - Beach,Hạ Long,Bắc Bộ,Beach,Domestic,Solo,Website,Normal,610000,1,0,0,1,2022-12-19,2022-12-31,2022-12-31,Winter,Sunny,Completed,4.0,610000,420000,190000
